LinkId,NetworkId,DataSourceId,Ts,Aggregation,InFlow,OutFlow,Density,Occupancy,Speed,InFlowWorst,OutFlowWorst,DensityWorst,OccupancyWorst,SpeedWorst,FreeFlowSpeed,CongestionWaveSpeed,Capacity,JamDensity,CapacityDrop,StdDeviationCapacity
406829d8-024b-4ae7-85b1-6a59627528a7,c87b9ab7-b33b-4288-b0a8-16a6810cbe54,764ba409-5255-494c-9aac-036dc970126c,2012-07-11 00:15:00.0,15min,16.2220938453606818,15.2113048071667984,0.6161399653252214,null,null,null,null,null,null,null,null,null,null,null,null,null
406829d8-024b-4ae7-85b1-6a59627528a7,c87b9ab7-b33b-4288-b0a8-16a6810cbe54,764ba409-5255-494c-9aac-036dc970126c,2012-07-11 00:30:00.0,15min,24.9999999999999537,24.9999999011170749,1.0107891331886170,null,null,null,null,null,null,null,60.0000000000000000,null,1800.0000000000000000,null,null,null
406829d8-024b-4ae7-85b1-6a59627528a7,c87b9ab7-b33b-4288-b0a8-16a6810cbe54,764ba409-5255-494c-9aac-036dc970126c,2012-07-11 00:45:00.0,15min,24.9999999999999537,19.6182796817708736,2.9192295883212666,null,null,null,null,null,null,null,60.0000000000000000,null,1800.0000000000000000,null,null,null
406829d8-024b-4ae7-85b1-6a59627528a7,c87b9ab7-b33b-4288-b0a8-16a6810cbe54,764ba409-5255-494c-9aac-036dc970126c,2012-07-11 01:00:00.0,15min,24.9999999999999537,22.7140769723873095,7.8765237306558679,null,null,null,null,null,null,null,60.0000000000000000,null,1800.0000000000000000,null,null,null
406829d8-024b-4ae7-85b1-6a59627528a7,c87b9ab7-b33b-4288-b0a8-16a6810cbe54,764ba409-5255-494c-9aac-036dc970126c,2012-07-11 01:15:00.0,15min,24.9999999999999537,24.6476276814326008,8.9062999374801616,null,null,null,null,null,null,null,60.0000000000000000,null,1800.0000000000000000,null,null,null
406829d8-024b-4ae7-85b1-6a59627528a7,c87b9ab7-b33b-4288-b0a8-16a6810cbe54,764ba409-5255-494c-9aac-036dc970126c,2012-07-11 01:30:00.0,15min,24.9999999999999537,24.9442766488183823,9.0667859540111474,null,null,null,null,null,null,null,60.0000000000000000,null,1800.0000000000000000,null,null,null
406829d8-024b-4ae7-85b1-6a59627528a7,c87b9ab7-b33b-4288-b0a8-16a6810cbe54,764ba409-5255-494c-9aac-036dc970126c,2012-07-11 01:45:00.0,15min,24.9999999999999537,24.9911149294701359,9.0922634351729041,null,null,null,null,null,null,null,60.0000000000000000,null,1800.0000000000000000,null,null,null
406829d8-024b-4ae7-85b1-6a59627528a7,c87b9ab7-b33b-4288-b0a8-16a6810cbe54,764ba409-5255-494c-9aac-036dc970126c,2012-07-11 02:00:00.0,15min,24.9999999999999537,24.9985808471279574,9.0963292270561204,null,null,null,null,null,null,null,60.0000000000000000,null,1800.0000000000000000,null,null,null
406829d8-024b-4ae7-85b1-6a59627528a7,c87b9ab7-b33b-4288-b0a8-16a6810cbe54,764ba409-5255-494c-9aac-036dc970126c,2012-07-11 02:15:00.0,15min,24.9999999999999537,24.9997732600846179,9.0969787257569277,null,null,null,null,null,null,null,60.0000000000000000,null,1800.0000000000000000,null,null,null
406829d8-024b-4ae7-85b1-6a59627528a7,c87b9ab7-b33b-4288-b0a8-16a6810cbe54,764ba409-5255-494c-9aac-036dc970126c,2012-07-11 02:30:00.0,15min,24.9999999999999537,24.9999637716666621,9.0970824995902077,null,null,null,null,null,null,null,60.0000000000000000,null,1800.0000000000000000,null,null,null
